public_code,name,address,city,province,autonomous_community,postal_code,hospital_class,ownership,active
310121,Hospital Garcia Orcoyen,Calle Santa Soria 22 -,Estella-Lizarra,Navarra,C. Foral de Navarra,31200,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,N
310044,Hospital San Juan de Dios,Calle Beloso Alto 3 -,Pamplona/Iruña,Navarra,C. Foral de Navarra,31006,Hospitales Generales,Privados,N
310060,Clínica Universidad de Navarra,Avenida Pio Xia 36 -,Pamplona/Iruña,Navarra,C. Foral de Navarra,31008,Hospitales Generales,Privados,N
310057,Clínica Psiquiatrica Padre Menni,Calle Joaquín Beunza 45 -,Pamplona/Iruña,Navarra,C. Foral de Navarra,31014,Hospitales de salud mental y tratamiento de toxicomanías,Privados,N
310076,Clínica Arcángel San Miguel - Pamplona,Calle Beloso Alto 32 -,Pamplona/Iruña,Navarra,C. Foral de Navarra,31006,Hospitales Generales,Privados,N
310039,Centro San Francisco Javier,Avenida Villava 53 -,Pamplona/Iruña,Navarra,C. Foral de Navarra,31015,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,N
310150,Hospital Universitario de Navarra,Calle Irunlarrea 3 -,Pamplona/Iruña,Navarra,C. Foral de Navarra,31008,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,N
310137,Hospital Reina Sofia,Carretera Tarazona KM. 3 -,Tudela,Navarra,C. Foral de Navarra,31500,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,N
320126,Hospital Publico de Valdeorras,Avenida Conde de Fenosa 50,"Barco de Valdeorras, O",Ourense,Galicia,32300,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,N
320163,Clínica Santa Teresa,Calle Sáenz Diez 11,Ourense,Ourense,Galicia,32003,Hospitales Generales,Privados,N
320087,Centro Medico El Carmen,Avenida Habana (De La) 50,Ourense,Ourense,Galicia,32003,Hospitales Generales,Privados,N
320013,Complexo Hospitalario Universitario de Ourense,Calle Ramon Puga 52,Ourense,Ourense,Galicia,32005,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,N
120148,Instituto de Traumatología de Unión de Mutuas (Matepss Nº 267),Avenida Virgen de Lidón 67,Castelló de la Plana,Castellón,Comunidad Valenciana,12004,Hospitales especializados,Mútuas Colaboradoras con La Seguridad Social,N
120159,Hospital Rey D. Jaime,Calle Maria Rosa Molas 25,Castelló de la Plana,Castellón,Comunidad Valenciana,12004,Hospitales Generales,Privados,N
